VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2022-01-02T16:14:20.000000,2022-01-02T16:35:06.000000,3.0,10.43,1.0,N,70,127,2,30.5,0.0,0.5,0.0,6.55,0.3,37.85,0.0,0.0
2,2022-01-02T16:20:33.000000,2022-01-02T16:47:55.000000,1.0,11.2,1.0,N,162,138,1,34.0,0.0,0.5,8.77,6.55,0.3,52.62,2.5,0.0
1,2022-01-02T16:26:57.000000,2022-01-02T16:30:09.000000,1.0,0.9,1.0,N,239,151,2,4.5,2.5,0.5,0.0,0.0,0.3,7.8,2.5,0.0
1,2022-01-02T16:32:55.000000,2022-01-02T16:35:56.000000,1.0,0.5,1.0,N,142,143,1,4.0,2.5,0.5,2.15,0.0,0.3,9.45,2.5,0.0
1,2022-01-02T16:33:03.000000,2022-01-02T17:04:36.000000,1.0,2.3,1.0,N,186,229,2,19.0,2.5,0.5,0.0,0.0,0.3,22.3,2.5,0.0
1,2022-01-02T17:42:53.000000,2022-01-02T17:44:41.000000,1.0,0.4,1.0,N,151,24,1,3.5,0.0,0.5,0.43,0.0,0.3,4.73,0.0,0.0
2,2022-01-02T17:43:24.000000,2022-01-02T18:02:22.000000,1.0,4.9,1.0,N,232,158,2,17.5,0.0,0.5,0.0,0.0,0.3,20.8,2.5,0.0
2,2022-01-02T17:50:36.000000,2022-01-02T18:14:14.000000,1.0,3.78,1.0,N,230,24,1,17.5,0.0,0.5,4.16,0.0,0.3,24.96,2.5,0.0
2,2022-01-02T18:48:06.000000,2022-01-02T19:08:11.000000,2.0,2.83,1.0,N,143,263,1,14.5,0.0,0.5,3.56,0.0,0.3,21.36,2.5,0.0
2,2022-01-02T20:08:49.000000,2022-01-02T20:17:45.000000,2.0,3.36,1.0,N,138,223,2,12.0,0.5,0.5,0.0,0.0,0.3,14.55,0.0,1.25
2,2022-01-02T20:52:14.000000,2022-01-02T21:25:01.000000,1.0,21.78,1.0,N,132,106,1,57.5,0.5,0.5,10.0,0.0,0.3,70.05,0.0,1.25
2,2022-01-02T20:54:43.000000,2022-01-02T21:35:11.000000,1.0,18.35,1.0,N,132,89,2,53.5,0.5,0.5,0.0,0.0,0.3,56.05,0.0,1.25
2,2022-01-02T20:56:41.000000,2022-01-02T21:02:43.000000,4.0,0.83,1.0,N,246,230,2,6.0,0.5,0.5,0.0,0.0,0.3,9.8,2.5,0.0
2,2022-01-02T21:00:59.000000,2022-01-02T21:11:46.000000,1.0,3.33,1.0,N,234,140,2,11.5,0.5,0.5,0.0,0.0,0.3,15.3,2.5,0.0
2,2022-01-02T21:21:41.000000,2022-01-02T21:30:09.000000,1.0,1.51,1.0,N,163,229,1,8.0,0.5,0.5,3.0,0.0,0.3,14.8,2.5,0.0
2,2022-01-02T21:23:30.000000,2022-01-02T21:48:57.000000,1.0,17.66,2.0,N,132,148,2,52.0,0.0,0.5,0.0,0.0,0.3,56.55,2.5,1.25
2,2022-01-02T21:25:40.000000,2022-01-02T21:28:26.000000,1.0,1.11,1.0,N,74,263,1,5.0,0.5,0.5,0.7,0.0,0.3,7.0,0.0,0.0
2,2022-01-02T21:29:55.000000,2022-01-02T21:31:27.000000,2.0,0.45,1.0,N,263,262,2,3.5,0.5,0.5,0.0,0.0,0.3,7.3,2.5,0.0
2,2022-01-02T21:36:58.000000,2022-01-02T22:10:03.000000,1.0,17.14,1.0,N,132,188,1,48.0,0.5,0.5,12.64,0.0,0.3,63.19,0.0,1.25
2,2022-01-02T21:51:23.000000,2022-01-02T22:06:12.000000,1.0,3.38,1.0,N,79,48,2,13.5,0.5,0.5,0.0,0.0,0.3,17.3,2.5,0.0
2,2022-01-02T22:04:57.000000,2022-01-02T22:24:56.000000,6.0,4.91,1.0,N,79,37,1,18.0,0.5,0.5,2.2,0.0,0.3,24.0,2.5,0.0
2,2022-01-02T22:07:38.000000,2022-01-02T22:34:39.000000,2.0,17.88,2.0,N,132,90,1,52.0,0.0,0.5,12.37,6.55,0.3,75.47,2.5,1.25
2,2022-01-02T22:25:11.000000,2022-01-02T22:48:26.000000,2.0,11.01,1.0,N,132,17,1,32.0,0.5,0.5,6.66,0.0,0.3,41.21,0.0,1.25
2,2022-01-02T22:37:01.000000,2022-01-02T22:49:23.000000,1.0,2.54,1.0,N,113,163,1,11.0,0.5,0.5,5.0,0.0,0.3,19.8,2.5,0.0
2,2022-01-02T22:44:13.000000,2022-01-02T22:58:02.000000,1.0,8.07,1.0,N,138,233,1,23.5,0.5,0.5,6.77,6.55,0.3,41.87,2.5,1.25
2,2022-01-02T23:59:47.000000,2022-01-03T00:21:48.000000,1.0,13.81,1.0,N,138,211,1,38.0,0.5,0.5,4.96,6.55,0.3,54.56,2.5,1.25
2,2022-01-03T02:11:17.000000,2022-01-03T02:14:59.000000,1.0,1.12,1.0,N,186,48,1,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5,0.0
2,2022-01-03T05:54:12.000000,2022-01-03T06:26:54.000000,2.0,24.75,4.0,N,132,265,2,76.5,0.5,0.5,0.0,6.55,0.3,85.6,0.0,1.25
2,2022-01-03T06:24:58.000000,2022-01-03T06:29:29.000000,1.0,0.88,1.0,N,68,125,1,5.5,0.0,0.5,1.76,0.0,0.3,10.56,2.5,0.0
2,2022-01-03T06:43:14.000000,2022-01-03T07:28:18.000000,1.0,20.27,2.0,N,132,142,1,52.0,0.0,0.5,12.37,6.55,0.3,74.22,2.5,0.0
2,2022-01-03T06:43:51.000000,2022-01-03T06:50:46.000000,1.0,2.25,1.0,N,113,230,1,8.5,0.0,0.5,1.0,0.0,0.3,12.8,2.5,0.0
2,2022-01-03T07:07:44.000000,2022-01-03T07:30:19.000000,1.0,4.69,1.0,N,163,223,2,18.5,0.0,0.5,0.0,0.0,0.3,21.8,2.5,0.0
2,2022-01-03T07:09:08.000000,2022-01-03T07:15:04.000000,1.0,1.22,1.0,N,162,141,1,6.0,0.0,0.5,2.33,0.0,0.3,11.63,2.5,0.0
2,2022-01-03T07:23:30.000000,2022-01-03T07:28:42.000000,1.0,1.24,1.0,N,233,237,1,6.0,0.0,0.5,2.32,0.0,0.3,11.62,2.5,0.0
2,2022-01-03T07:26:53.000000,2022-01-03T07:56:19.000000,2.0,9.1,1.0,N,162,92,2,30.0,0.0,0.5,0.0,0.0,0.3,33.3,2.5,0.0
1,2022-01-03T07:47:58.000000,2022-01-03T07:58:19.000000,1.0,2.5,1.0,N,151,43,2,10.0,2.5,0.5,0.0,0.0,0.3,13.3,2.5,0.0
1,2022-01-03T07:50:43.000000,2022-01-03T07:54:48.000000,1.0,0.9,1.0,N,74,75,1,5.5,0.0,0.5,1.25,0.0,0.3,7.55,0.0,0.0
1,2022-01-03T07:59:25.000000,2022-01-03T08:17:00.000000,0.0,3.4,1.0,N,142,137,1,14.0,2.5,0.5,2.0,0.0,0.3,19.3,2.5,0.0
2,2022-01-03T08:08:47.000000,2022-01-03T08:14:30.000000,2.0,0.86,1.0,N,236,263,1,6.0,0.0,0.5,2.32,0.0,0.3,11.62,2.5,0.0
2,2022-01-03T08:08:52.000000,2022-01-03T08:26:31.000000,1.0,2.95,1.0,N,48,236,2,13.0,0.0,0.5,0.0,0.0,0.3,16.3,2.5,0.0
2,2022-01-03T08:12:07.000000,2022-01-03T08:15:24.000000,1.0,0.82,1.0,N,107,170,1,4.5,0.0,0.5,1.56,0.0,0.3,9.36,2.5,0.0
2,2022-01-03T08:16:15.000000,2022-01-03T08:22:14.000000,1.0,1.43,1.0,N,239,50,1,6.5,0.0,0.5,2.45,0.0,0.3,12.25,2.5,0.0
2,2022-01-03T08:19:47.000000,2022-01-03T08:41:38.000000,1.0,4.43,1.0,N,107,238,1,17.0,0.0,0.5,4.06,0.0,0.3,24.36,2.5,0.0
